"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 13 21:56:38 CST 2026","Mon Apr 13 21:56:38 CST 2026","388","test_case","test_order_main_flow","Test_main_flow","","","test_product_detail",""
"passed","Mon Apr 13 21:56:39 CST 2026","Mon Apr 13 21:56:40 CST 2026","303","test_case","test_order_main_flow","Test_main_flow","","","test_buy_now",""
"passed","Mon Apr 13 21:56:37 CST 2026","Mon Apr 13 21:56:37 CST 2026","4","test_case","test_framework_basics","","","","test_request_control_uses_default_host",""
"passed","Mon Apr 13 21:56:40 CST 2026","Mon Apr 13 21:56:40 CST 2026","263","test_case","test_order_main_flow","Test_main_flow","","","test_get_default_address",""
"passed","Mon Apr 13 21:56:39 CST 2026","Mon Apr 13 21:56:39 CST 2026","382","test_case","test_order_main_flow","Test_main_flow","","","test_user_center",""
"passed","Mon Apr 13 21:56:40 CST 2026","Mon Apr 13 21:56:40 CST 2026","280","test_case","test_order_main_flow","Test_main_flow","","","test_check_shipping",""
"passed","Mon Apr 13 21:56:37 CST 2026","Mon Apr 13 21:56:37 CST 2026","1","test_case","test_framework_basics","","","","test_placeholder_missing_context_raises",""
"passed","Mon Apr 13 21:56:38 CST 2026","Mon Apr 13 21:56:38 CST 2026","318","test_case","test_order_main_flow","Test_main_flow","","","test_product_list",""
"passed","Mon Apr 13 21:56:38 CST 2026","Mon Apr 13 21:56:39 CST 2026","421","test_case","test_order_main_flow","Test_main_flow","","","test_default_price",""
"passed","Mon Apr 13 21:56:37 CST 2026","Mon Apr 13 21:56:37 CST 2026","1","test_case","test_framework_basics","","","","test_placeholder_resolves_context_value",""
"passed","Mon Apr 13 21:56:37 CST 2026","Mon Apr 13 21:56:38 CST 2026","319","test_case","test_order_main_flow","Test_main_flow","","","test_login",""
"passed","Mon Apr 13 21:56:37 CST 2026","Mon Apr 13 21:56:37 CST 2026","1","test_case","test_framework_basics","","","","test_extract_control_supports_jsonpath_and_conditional_find",""
"passed","Mon Apr 13 21:56:37 CST 2026","Mon Apr 13 21:56:37 CST 2026","0","test_case","test_framework_basics","","","","test_assert_control_runs_with_local_response",""
"passed","Mon Apr 13 21:56:40 CST 2026","Mon Apr 13 21:56:40 CST 2026","332","test_case","test_order_main_flow","Test_main_flow","","","test_order_confirm",""
